demand,month,price,region,sales,revenue,weekly_demand,storage_dist,grove_dist,weekly_transp_cost,weekly_storage_build,weekly_storage_maint,raw_material_cost,profit
413,Jul,3.72727272727,MA,413,3078727.27272502,103.25,286.7647,967,57495.55133,12906.25,626398.177083333,135168.854838947,2246758.43947274
303,Aug,4,MA,303,2424000,75.75,286.7647,967,42181.96623,9468.75,626025.78125,99167.4649302685,1647156.03758973
3904,Sep,1,SE,3904,7808000,976,712.1667,967,1041723.87904,122000,638216.666666667,1277722.05639527,4728337.39789806
2581,Oct,1.27272727273,SE,2581,6569818.18183226,645.25,712.1667,967,688701.16081,80656.25,633737.760416667,844723.521402716,4321999.48920288
1453,Nov,1.54545454545,SE,1453,4491090.9090777,363.25,712.1667,967,387711.26953,45406.25,629919.010416667,475545.63215736,2952508.74697367
1213,Dec,1.81818181818,SE,1213,4410909.09090468,303.25,712.1667,967,323670.86713,37906.25,629106.510416667,396997.14508388,3023228.31827413
846,Jan,2.09090909091,SE,846,3537818.18181972,211.5,712.1667,967,225742.41846,26437.5,627864.0625,276883.416934017,2380890.7839257
538,Feb,2.36363636364,SE,538,2543272.72727664,134.5,712.1667,967,143557.23538,16812.5,626821.354166667,176079.525189718,1580002.11254026
399,Mar,2.63636363636,SE,399,2103818.18181528,99.75,712.1667,967,106467.16899,12468.75,626350.78125,130586.85975966,1227944.62181562
367,Apr,2.90909090909,SE,367,2135272.72727206,91.75,712.1667,967,97928.44867,11468.75,626242.447916667,120113.728149863,1279519.35253553
323,May,3.18181818182,SE,323,2055454.54545572,80.75,712.1667,967,86187.70823,10093.75,626093.489583333,105713.172186392,1227366.42545599
274,Jun,3.45454545455,SE,274,1893090.9090934,68.5,712.1667,967,73112.79274,8562.5,625927.604166667,89676.1894088897,1095811.82277784
216,Jul,3.72727272727,SE,216,1610181.81818064,54,712.1667,967,57636.36216,6750,625731.25,70693.638366132,849370.567654508
201,Aug,4,SE,201,1608000,50.25,712.1667,967,53633.83701,6281.25,625680.46875,65784.3579240395,856620.086315961
5124,Sep,1,MW,5124,10248000,1281,368.5909,1470,980873.33148,160125,642346.875,1677010.1990188,6787644.5945012
