demand,month,price,region,sales,revenue,weekly_demand,storage_dist,g_p_dist,p_s_dist,num_tanker_cars_needed,tanker_car_weekly_purchase_cost,tanker_car_weekly_travel_cost,g_p_weekly_cost,storage_market_weekly_cost,weekly_proc_build,weekly_proc_maint,reconstitution_cost,raw_material_cost,manufacturing_cost,profit
0,Aug,1,NW,187.011393026,0,0,659.125,351,393,0,0,0,0,0,0,666666.666666667,0,0,0,-666666.666666667
236,Sep,4,SW,59,1888000,59,659,351,393,1.96666666666667,4097.22222222222,27824.4,4555.98,46657.2,9833.33333333333,669739.583333333,38350,85336.2099879955,118000,883606.071123115
277,Oct,3.72727272727,SW,277,2064909.09090758,69.25,659,351,393,2.30833333333333,4809.02777777778,32658.3,5347.485,54762.9,11541.6666666667,670273.4375,45012.5,100161.568502859,138500,1001842.20546028
291,Nov,3.45454545455,SW,291,2010545.4545481,72.75,659,351,393,2.425,5052.08333333333,34308.9,5617.755,57530.7,12125,670455.729166667,47287.5,105223.88604452,145500,927443.90100358
376,Dec,3.18181818182,SW,376,2392727.27272864,94,659,351,393,3.13333333333333,6527.77777777778,44330.4,7258.68,74335.2,15666.6666666667,671562.5,61100,135959.385404603,188000,1187986.66287959
431,Jan,2.90909090909,SW,431,2507636.36363558,107.75,659,351,393,3.59166666666667,7482.63888888889,50814.9,8320.455,85208.7,17958.3333333333,672278.645833333,70037.5,155847.061461127,215500,1224188.1291189
437,Feb,2.63636363636,SW,437,2304181.81817864,109.25,659,351,393,3.64166666666667,7586.80555555556,51522.3,8436.285,86394.9,18208.3333333333,672356.770833333,71012.5,158016.626121839,218500,1012147.29733458
671,Mar,2.36363636364,SW,671,3172000.00000488,167.75,659,351,393,5.59166666666667,11649.3055555556,79110.9,12953.655,132656.7,27958.3333333333,675403.645833333,109037.5,242629.647889597,335500,1545100.31239306
904,Apr,2.09090909091,SW,904,3780363.63636528,226,659,351,393,7.53333333333333,15694.4444444444,106581.6,17451.72,178720.8,37666.6666666667,678437.5,146900,326881.075547237,452000,1820029.82970693
1070,May,1.81818181818,SW,1070,3890909.0909052,267.5,659,351,393,8.91666666666667,18576.3888888889,126153,20656.35,211539,44583.3333333333,680598.958333333,173875,386905.697826929,535000,1693021.36252272
0,Jun,1.54545454545,SW,1211.3688178,0,0,659,351,393,0,0,0,0,0,0,666666.666666667,0,0,0,-666666.666666667
0,Jul,1.27272727273,SW,190.357562914,0,0,659,351,393,0,0,0,0,0,0,666666.666666667,0,0,0,-666666.666666667
0,Aug,1,SW,388.164749696,0,0,659,351,393,0,0,0,0,0,0,666666.666666667,0,0,0,-666666.666666667
