demand,month,price,region,sales,revenue,weekly_demand,storage_dist,g_p_dist,p_s_dist,num_tanker_cars_needed,tanker_car_weekly_purchase_cost,tanker_car_weekly_travel_cost,g_p_weekly_cost,storage_market_weekly_cost,weekly_proc_build,weekly_proc_maint,manufacturing_cost,raw_material_cost,profit
620,Sep,4,MA,310,4960000,155,286.7647,773,317,5.16666666666667,10763.8888888889,58962,26359.3,53338.2342,25833.3333333333,674739.583333333,310000,202916.924939823,3597086.73530462
613,Oct,3.72727272727,MA,613,4569636.36363302,153.25,286.7647,773,317,5.10833333333333,10642.3611111111,58296.3,26061.695,52736.02833,25541.6666666667,674648.4375,306500,200625.92740018,3214583.94762506
866,Nov,3.45454545455,MA,866,5983272.7272806,216.5,286.7647,773,317,7.21666666666667,15034.7222222222,82356.6,36817.99,74501.46906,36083.3333333333,677942.708333333,433000,283429.12419014,4344106.78014157
990,Dec,3.18181818182,MA,990,6300000.0000036,247.5,286.7647,773,317,8.25,17187.5,94149,42089.85,85169.1159,41250,679557.291666667,495000,324012.509178105,4521584.73325883
1296,Jan,2.90909090909,MA,1296,7540363.63636128,324,286.7647,773,317,10.8,22500,123249.6,55099.44,111494.11536,54000,683541.666666667,648000,424161.830196792,5418316.98413782
1537,Feb,2.63636363636,MA,1537,8104181.81817064,384.25,286.7647,773,317,12.8083333333333,26684.0277777778,146168.7,65345.555,132227.20317,64041.6666666667,686679.6875,768500,503037.602633078,5711497.37542312
1845,Mar,2.36363636364,MA,1845,8721818.1818316,461.25,286.7647,773,317,15.375,32031.25,175459.5,78440.175,158724.26145,76875,690690.104166667,922500,603841.494377377,5983256.39683756
3067,Apr,2.09090909091,MA,3067,12825636.3636419,766.75,286.7647,773,317,25.5583333333333,53246.5277777778,291671.7,130393.505,263852.20047,127791.666666667,706601.5625,1533500,1003784.20772651,8714794.99350098
3678,May,1.81818181818,MA,3678,13374545.4545321,919.5,286.7647,773,317,30.65,63854.1666666667,349777.8,156370.17,316416.16998,153250,714557.291666667,1839000,1203755.56440108,8577564.29181767
0,Jun,1.54545454545,MA,2723.12474119,0,0,286.7647,773,317,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Jul,1.27272727273,MA,1468.31502356,0,0,286.7647,773,317,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
