demand,month,price,region,sales,revenue,weekly_demand,storage_dist,g_p_dist,p_s_dist,num_tanker_cars_needed,tanker_car_weekly_purchase_cost,tanker_car_weekly_travel_cost,g_p_weekly_cost,storage_market_weekly_cost,weekly_proc_build,weekly_proc_maint,manufacturing_cost,raw_material_cost,profit
0,Jul,1.27272727273,NE,899.34283051,0,0,479.1429,773,317,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Aug,1,NE,618.675953187,0,0,479.1429,773,317,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
192,Sep,4,MA,96,1536000,48,286.7647,773,317,1.6,3333.33333333333,18259.2,8162.88,16517.64672,8000,669166.666666667,96000,62838.789658784,653721.483621216
236,Oct,3.72727272727,MA,236,1759272.72727144,59,286.7647,773,317,1.96666666666667,4097.22222222222,22443.6,10033.54,20302.94076,9833.33333333333,669739.583333333,118000,77239.3456222553,827583.162000296
280,Nov,3.45454545455,MA,280,1934545.454548,70,286.7647,773,317,2.33333333333333,4861.11111111111,26628,11904.2,24088.2348,11666.6666666667,670312.5,140000,91639.9015857267,953444.840384495
366,Dec,3.18181818182,MA,366,2329090.90909224,91.5,286.7647,773,317,3.05,6354.16666666667,34806.6,15560.49,31486.76406,15250,671432.291666667,183000,119786.442787057,1251414.15391185
392,Jan,2.90909090909,MA,392,2280727.27272656,98,286.7647,773,317,3.26666666666667,6805.55555555556,37279.2,16665.88,33723.52872,16333.3333333333,671770.833333333,196000,128295.862220017,1173853.07956432
530,Feb,2.63636363636,MA,530,2794545.4545416,132.5,286.7647,773,317,4.41666666666667,9201.38888888889,50403,22532.95,45595.5873,22083.3333333333,673567.708333333,265000,173461.242287268,1532700.24439878
608,Mar,2.36363636364,MA,608,2874181.81818624,152,286.7647,773,317,5.06666666666667,10555.5555555556,57820.8,25849.12,52305.88128,25333.3333333333,674583.333333333,304000,198989.500586149,1524744.29409787
812,Apr,2.09090909091,MA,812,3395636.36363784,203,286.7647,773,317,6.76666666666667,14097.2222222222,77221.2,34522.18,69855.88092,33833.3333333333,677239.583333333,406000,265755.714598607,1817111.24923034
0,May,1.81818181818,MA,841.879066522,0,0,286.7647,773,317,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Jun,1.54545454545,MA,788.718857797,0,0,286.7647,773,317,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Jul,1.27272727273,MA,809.456435495,0,0,286.7647,773,317,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Aug,1,MA,632.068496269,0,0,286.7647,773,317,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
276,Sep,4,SE,138,2208000,69,712.1667,773,317,2.3,4791.66666666667,26247.6,11734.14,58967.40276,11500,670260.416666667,138000,90330.760134502,1196168.01377216
272,Oct,3.72727272727,SE,272,2027636.36363488,68,712.1667,773,317,2.26666666666667,4722.22222222222,25867.2,11564.08,58112.80272,11333.3333333333,670208.333333333,136000,89021.6186832773,1020806.77334271
329,Nov,3.45454545455,SE,329,2273090.9090939,82.25,712.1667,773,317,2.74166666666667,5711.80555555556,31287.9,13987.435,70290.85329,13708.3333333333,670950.520833333,164500,107676.884363229,1194977.17671845
361,Dec,3.18181818182,SE,361,2297272.72727404,90.25,712.1667,773,317,3.00833333333333,6267.36111111111,34331.1,15347.915,77127.65361,15041.6666666667,671367.1875,180500,118150.015973026,1179139.82741324
457,Jan,2.90909090909,SE,457,2658909.09090826,114.25,712.1667,773,317,3.80833333333333,7934.02777777778,43460.7,19429.355,97638.05457,19041.6666666667,672617.1875,228500,149569.410802418,1420718.6885914
574,Feb,2.63636363636,SE,574,3026545.45454128,143.5,712.1667,773,317,4.78333333333333,9965.27777777778,54587.4,24403.61,122635.10574,23916.6666666667,674140.625,287000,187861.79825074,1642034.9711061
734,Mar,2.36363636364,SE,734,3469818.18182352,183.5,712.1667,773,317,6.11666666666667,12743.0555555556,69803.4,31206.01,156819.10734,30583.3333333333,676223.958333333,367000,240227.456299726,1885211.86096157
937,Apr,2.09090909091,SE,937,3918363.63636534,234.25,712.1667,773,317,7.80833333333333,16267.3611111111,89108.7,39836.555,200190.05937,39041.6666666667,678867.1875,468500,306666.384949378,2079885.72176818
0,May,1.81818181818,SE,1000.62712371,0,0,712.1667,773,317,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Jun,1.54545454545,SE,921.262523586,0,0,712.1667,773,317,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Jul,1.27272727273,SE,632.884385281,0,0,712.1667,773,317,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Aug,1,SE,579.121398944,0,0,712.1667,773,317,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
246,Sep,4,MW,123,1968000,61.5,368.5909,1528,98,2.05,4270.83333333333,7232.4,20673.84,27202.00842,10250,669869.791666667,123000,80512.199250317,1024988.92732968
397,Oct,3.72727272727,MW,397,2959454.54545238,99.25,368.5909,1528,98,3.30833333333333,6892.36111111111,11671.8,33363.88,43899.17619,16541.6666666667,671835.9375,198500,129932.289034048,1846817.43495055
382,Nov,3.45454545455,MW,382,2639272.7272762,95.5,368.5909,1528,98,3.18333333333333,6631.94444444444,11230.8,32103.28,42240.51714,15916.6666666667,671640.625,191000,125023.008591956,1543485.88543313
505,Dec,3.18181818182,MW,505,3213636.3636382,126.25,368.5909,1528,98,4.20833333333333,8767.36111111111,14847,42440.2,55841.52135,21041.6666666667,673242.1875,252500,165279.108217114,1979677.31879331
588,Jan,2.90909090909,MW,588,3421090.90908984,147,368.5909,1528,98,4.9,10208.3333333333,17287.2,49415.52,65019.43476,24500,674322.916666667,294000,192443.793330026,2093893.71099981
850,Feb,2.63636363636,MW,850,4481818.181812,212.5,368.5909,1528,98,7.08333333333333,14756.9444444444,24990,71434,93990.6795,35416.6666666667,677734.375,425000,278192.558385242,2860302.95781565
947,Mar,2.36363636364,MW,947,4476727.27273416,236.75,368.5909,1528,98,7.89166666666667,16440.9722222222,27841.8,79585.88,104716.67469,39458.3333333333,678997.395833333,473500,309939.23857744,2746246.97807783
1252.15788711,Apr,2.09090909091,MW,1252.15788711,5236296.61882591,313.0394717775,368.5909,1528,98,10.43464905925,21738.8522067708,36813.441881034,105231.348832724,138460.200765592,52173.24529625,682970.805821745,626078.943555,409812.948373399,3163016.8320934
0,May,1.81818181818,MW,1288.44889759,0,0,368.5909,1528,98,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Jun,1.54545454545,MW,1060.45113926,0,0,368.5909,1528,98,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Jul,1.27272727273,MW,1154.8353426,0,0,368.5909,1528,98,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Aug,1,MW,817.665438679,0,0,368.5909,1528,98,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
206,Sep,4,DS,103,1648000,51.5,413.375,381,140,1.71666666666667,3576.38888888889,8652,4316.73,25546.575,8583.33333333333,669348.958333333,103000,77913.6402459262,747062.374198518
208,Oct,3.72727272727,DS,208,1550545.45454432,52,413.375,381,140,1.73333333333333,3611.11111111111,8736,4358.64,25794.6,8666.66666666667,669375,104000,78670.08335511,647333.353411432
268,Nov,3.45454545455,DS,268,1851636.3636388,67,413.375,381,140,2.23333333333333,4652.77777777778,11256,5615.94,33235.35,11166.6666666667,670156.25,134000,101363.376630623,880190.002563733
358,Dec,3.18181818182,DS,358,2278181.81818312,89.5,413.375,381,140,2.98333333333333,6215.27777777778,15036,7501.89,44396.475,14916.6666666667,671328.125,179000,135403.316543891,1204384.06719478
371,Jan,2.90909090909,DS,371,2158545.45454478,92.75,413.375,381,140,3.09166666666667,6440.97222222222,15582,7774.305,46008.6375,15458.3333333333,671497.395833333,185500,140320.196753586,1069963.61390231
578,Feb,2.63636363636,DS,578,3047636.36363216,144.5,413.375,381,140,4.81666666666667,10034.7222222222,24276,12111.99,71679.225,24083.3333333333,674192.708333333,289000,218612.058554104,1723646.32618917
607,Mar,2.36363636364,DS,607,2869454.54545896,151.75,413.375,381,140,5.05833333333333,10538.1944444444,25494,12719.685,75275.5875,25291.6666666667,674570.3125,303500,229580.483637268,1512484.61571058
0,Apr,2.09090909091,DS,573.126840762,0,0,413.375,381,140,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,May,1.81818181818,DS,809.642805552,0,0,413.375,381,140,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Jun,1.54545454545,DS,513.853745922,0,0,413.375,381,140,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Jul,1.27272727273,DS,685.411061435,0,0,413.375,381,140,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Aug,1,DS,479.092162162,0,0,413.375,381,140,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
102,Sep,4,NW,51,816000,25.5,659.125,351,393,0.85,1770.83333333333,12025.8,1969.11,20169.225,4250,667994.791666667,51000,36882.5992320998,19937.6407679003
115,Oct,3.72727272727,NW,115,857272.7272721,28.75,659.125,351,393,0.958333333333333,1996.52777777778,13558.5,2220.075,22739.8125,4791.66666666667,668164.0625,57500,41583.3226636419,44718.7601640136
