region,product,price,predicted_demand
NE,ORA,1.91,242.761109578834
NE,ORA,1.92,239.953814196944
NE,ORA,1.93,237.190042383959
NE,ORA,1.94,234.468899063592
NE,ORA,1.95,231.789512051225
NE,ORA,1.96,229.151031354946
NE,ORA,1.97,226.552628501344
NE,ORA,1.98,223.993495885087
NE,ORA,1.99,221.472846141323
NE,ORA,2,218.989911539985
NE,ORA,2.01,216.543943401141
NE,ORA,2.02,214.134211530558
NE,ORA,2.03,211.760003674671
NE,ORA,2.04,209.420624994219
NE,ORA,2.05,207.115397555803
NE,ORA,2.06,204.843659840679
NE,ORA,2.07,202.604766270129
NE,ORA,2.08,200.398086746758
NE,ORA,2.09,198.223006211122
NE,ORA,2.1,196.078924213096
NE,ORA,2.11,193.965254497435
NE,ORA,2.12,191.88142460298
NE,ORA,2.13,189.826875475009
NE,ORA,2.14,187.801061090232
NE,ORA,2.15,185.803448093977
NE,ORA,2.16,183.8335154491
NE,ORA,2.17,181.890754096193
NE,ORA,2.18,179.974666624679
NE,ORA,2.19,178.084766954404
NE,ORA,2.2,176.220580027322
NE,ORA,2.21,174.381641508934
NE,ORA,2.22,172.567497499119
NE,ORA,2.23,170.777704252017
NE,ORA,2.24,169.011827904652
NE,ORA,2.25,167.269444213972
NE,ORA,2.26,165.550138302023
NE,ORA,2.27,163.853504408958
NE,ORA,2.28,162.179145653615
NE,ORA,2.29,160.526673801398
NE,ORA,2.3,158.895709039206
NE,ORA,2.31,157.285879757166
NE,ORA,2.32,155.696822336941
NE,ORA,2.33,154.128180946383
NE,ORA,2.34,152.579607340312
NE,ORA,2.35,151.050760667221
NE,ORA,2.36,149.541307281704
NE,ORA,2.37,148.050920562401
NE,ORA,2.38,146.579280735303
NE,ORA,2.39,145.126074702207
NE,ORA,2.4,143.690995874172
NE,ORA,2.41,142.273744009799
NE,ORA,2.42,140.874025058179
NE,ORA,2.43,139.49155100636
NE,ORA,2.44,138.126039731173
NE,ORA,2.45,136.777214855294
NE,ORA,2.46,135.444805607379
NE,ORA,2.47,134.12854668617
NE,ORA,2.48,132.828178128418
NE,ORA,2.49,131.543445180516
NE,ORA,2.5,130.274098173718
NE,ORA,2.51,129.019892402833
NE,ORA,2.52,127.780588008277
NE,ORA,2.53,126.555949861389
NE,ORA,2.54,125.345747452894
NE,ORA,2.55,124.149754784429
NE,ORA,2.56,122.96775026302
NE,ORA,2.57,121.79951659844
NE,ORA,2.58,120.644840703334
NE,ORA,2.59,119.503513596046
NE,ORA,2.6,118.375330306053
NE,ORA,2.61,117.260089781937
NE,ORA,2.62,116.1575948018
NE,ORA,2.63,115.067651886069
NE,ORA,2.64,113.990071212601
NE,ORA,2.65,112.924666534036
NE,ORA,2.66,111.871255097308
NE,ORA,2.67,110.829657565275
NE,ORA,2.68,109.799697940381
NE,ORA,2.69,108.781203490308
NE,ORA,2.7,107.774004675552
NE,ORA,2.71,106.77793507886
NE,ORA,2.72,105.792831336487
NE,ORA,2.73,104.818533071208
NE,ORA,2.74,103.854882827038
NE,ORA,2.75,102.901726005614
NE,ORA,2.76,101.958910804187
NE,ORA,2.77,101.026288155172
NE,ORA,2.78,100.103711667226
NE,ORA,2.79,99.1910375677962
NE,ORA,2.8,98.2881246471054
NE,ORA,2.81,97.3948342035252
NE,ORA,2.82,96.5110299903089
NE,ORA,2.83,95.636578163635
NE,ORA,2.84,94.7713472319314
NE,ORA,2.85,93.9152080064417
NE,ORA,2.86,93.0680335529985
NE,ORA,2.87,92.2296991449717
NE,ORA,2.88,91.400082217358
NE,ORA,2.89,90.5790623219811
NE,ORA,2.9,89.7665210837703
NE,ORA,2.91,88.9623421580905
NE,ORA,2.92,88.1664111890916
NE,ORA,2.93,87.3786157690528
NE,ORA,2.94,86.5988453986925
NE,ORA,2.95,85.8269914484186
NE,ORA,2.96,85.0629471204933
NE,ORA,2.97,84.3066074120886
NE,ORA,2.98,83.5578690792077
NE,ORA,2.99,82.8166306014505
NE,ORA,3,82.0827921475984
NE,ORA,3.01,81.3562555419995
NE,ORA,3.02,80.6369242317313
NE,ORA,3.03,79.9247032545197
NE,ORA,3.04,79.2194992073975
NE,ORA,3.05,78.5212202160792
NE,ORA,3.06,77.829775905036
NE,ORA,3.07,77.1450773682522
NE,ORA,3.08,76.4670371406447
NE,ORA,3.09,75.7955691701292
NE,ORA,3.1,75.1305887903159
NE,ORA,3.11,74.4720126938192
NE,ORA,3.12,73.8197589061644
NE,ORA,3.13,73.1737467602785
NE,ORA,3.14,72.533896871547
NE,ORA,3.15,71.9001311134255
NE,ORA,3.16,71.2723725935897
NE,ORA,3.17,70.6505456306125
NE,ORA,3.18,70.034575731152
NE,ORA,3.19,69.4243895676406
NE,ORA,3.2,68.819914956461
NE,ORA,3.21,68.2210808365971
NE,ORA,3.22,67.6278172487487
NE,ORA,3.23,67.040055314898
NE,ORA,3.24,66.4577272183164
NE,ORA,3.25,65.8807661840024
NE,ORA,3.26,65.3091064595373
NE,ORA,3.27,64.7426832963516
NE,ORA,3.28,64.1814329313899
NE,ORA,3.29,63.625292569165
NE,ORA,3.3,63.0742003641927
NE,ORA,3.31,62.5280954037975
NE,ORA,3.32,61.9869176912795
NE,ORA,3.33,61.4506081294357
NE,ORA,3.34,60.9191085044253
NE,ORA,3.35,60.392361469972
NE,ORA,3.36,59.8703105318949
NE,ORA,3.37,59.3529000329604
NE,ORA,3.38,58.8400751380468
NE,ORA,3.39,58.3317818196155
NE,ORA,3.4,57.8279668434802
NE,ORA,3.41,57.3285777548683
NE,ORA,3.42,56.8335628647674
NE,ORA,3.43,56.3428712365488
NE,ORA,3.44,55.8564526728644
NE,ORA,3.45,55.3742577028077
NE,ORA,3.46,54.8962375693355
NE,ORA,3.47,54.4223442169416
NE,ORA,3.48,53.952530279579
NE,ORA,3.49,53.4867490688238
NE,ORA,3.5,53.0249545622756
NE,ORA,3.51,52.5671013921882
NE,ORA,3.52,52.1131448343271
NE,ORA,3.53,51.6630407970468
NE,ORA,3.54,51.2167458105847
NE,ORA,3.55,50.7742170165643
NE,ORA,3.56,50.3354121577063
NE,ORA,3.57,49.90028956774
NE,ORA,3.58,49.4688081615116
NE,ORA,3.59,49.0409274252864
NE,ORA,3.6,48.6166074072373
NE,ORA,3.61,48.1958087081195
NE,ORA,3.62,47.7784924721239
NE,ORA,3.63,47.364620377907
NE,ORA,3.64,46.9541546297935
NE,ORA,3.65,46.5470579491468
NE,ORA,3.66,46.1432935659045
NE,ORA,3.67,45.7428252102755
NE,ORA,3.68,45.3456171045942
NE,ORA,3.69,44.9516339553293
NE,ORA,3.7,44.5608409452439
NE,ORA,3.71,44.1732037257027
NE,ORA,3.72,43.7886884091245
NE,ORA,3.73,43.4072615615751
NE,ORA,3.74,43.0288901954999
NE,ORA,3.75,42.6535417625912
NE,ORA,3.76,42.2811841467879
NE,ORA,3.77,41.911785657406
NE,ORA,3.78,41.545315022395
NE,ORA,3.79,41.1817413817196
NE,ORA,3.8,40.8210342808626
NE,ORA,3.81,40.463163664447
NE,ORA,3.82,40.1080998699755
NE,ORA,3.83,39.7558136216831
NE,ORA,3.84,39.406276024503
NE,ORA,3.85,39.0594585581408
NE,ORA,3.86,38.7153330712569
NE,ORA,3.87,38.3738717757536
NE,ORA,3.88,38.035047241165
NE,ORA,3.89,37.6988323891484
NE,ORA,3.9,37.3652004880734
NE,ORA,3.91,37.0341251477088
NE,ORA,3.92,36.7055803140037
NE,ORA,3.93,36.3795402639609
NE,ORA,3.94,36.0559796006031
NE,ORA,3.95,35.7348732480256
NE,ORA,3.96,35.4161964465389
NE,ORA,3.97,35.0999247478949
NE,ORA,3.98,34.7860340105979
NE,ORA,3.99,34.4745003952977
NE,ORA,4,34.1653003602632
NE,POJ,1,1428.23622969543
NE,POJ,1.01,1399.09921068017
NE,POJ,1.02,1370.8149550069
NE,POJ,1.03,1343.35050694546
NE,POJ,1.04,1316.67448752091
NE,POJ,1.05,1290.75700484509
NE,POJ,1.06,1265.56957034152
NE,POJ,1.07,1241.08502042507
NE,POJ,1.08,1217.27744323433
NE,POJ,1.09,1194.12211004738
NE,POJ,1.1,1171.59541104214
NE,POJ,1.11,1149.67479508936
NE,POJ,1.12,1128.33871329172
NE,POJ,1.13,1107.56656600485
NE,POJ,1.14,1087.33865309708
NE,POJ,1.15,1067.63612722363
NE,POJ,1.16,1048.44094990819
NE,POJ,1.17,1029.73585024078
NE,POJ,1.18,1011.50428601526
NE,POJ,1.19,993.730407143294
NE,POJ,1.2,976.399021193409
NE,POJ,1.21,959.495560915456
NE,POJ,1.22,943.006053620699
NE,POJ,1.23,926.917092297374
NE,POJ,1.24,911.215808350199
NE,POJ,1.25,895.889845860322
NE,POJ,1.26,880.927337269565
NE,POJ,1.27,866.316880399584
NE,POJ,1.28,852.047516722861
NE,POJ,1.29,838.108710808186
NE,POJ,1.3,824.490330868632
NE,POJ,1.31,811.182630344964
NE,POJ,1.32,798.17623046196
NE,POJ,1.33,785.46210369934
NE,POJ,1.34,773.031558122927
NE,POJ,1.35,760.876222525219
NE,POJ,1.36,748.988032327971
NE,POJ,1.37,737.359216202428
NE,POJ,1.38,725.982283365775
NE,POJ,1.39,714.850011515006
NE,POJ,1.4,703.955435361952
NE,POJ,1.41,693.291835735439
NE,POJ,1.42,682.85272921878
NE,POJ,1.43,672.631858292723
NE,POJ,1.44,662.623181955897
NE,POJ,1.45,652.820866796494
NE,POJ,1.46,643.219278490536
NE,POJ,1.47,633.812973703617
NE,POJ,1.48,624.596692374354
NE,POJ,1.49,615.565350359147
NE,POJ,1.5,606.714032419031
NE,POJ,1.51,598.037985530555
NE,POJ,1.52,589.532612503694
NE,POJ,1.53,581.193465890799
NE,POJ,1.54,573.016242171499
NE,POJ,1.55,564.996776199377
NE,POJ,1.56,557.131035897024
NE,POJ,1.57,549.415117186869
NE,POJ,1.58,541.845239145869
NE,POJ,1.59,534.41773937285
NE,POJ,1.6,527.129069557881
NE,POJ,1.61,519.97579124369
NE,POJ,1.62,512.954571769654
NE,POJ,1.63,506.062180389444
NE,POJ,1.64,499.295484553861
NE,POJ,1.65,492.651446350904
NE,POJ,1.66,486.127119095488
NE,POJ,1.67,479.719644061686
NE,POJ,1.68,473.426247350718
NE,POJ,1.69,467.24423688828
NE,POJ,1.7,461.170999545151
NE,POJ,1.71,455.203998375321
NE,POJ,1.72,449.340769966193
NE,POJ,1.73,443.578921895691
NE,POJ,1.74,437.916130291373
NE,POJ,1.75,432.350137486899
NE,POJ,1.76,426.878749771441
NE,POJ,1.77,421.499835227847
NE,POJ,1.78,416.211321655582
NE,POJ,1.79,411.011194574668
NE,POJ,1.8,405.897495307024
NE,POJ,1.81,400.868319131816
NE,POJ,1.82,395.921813511546
NE,POJ,1.83,391.056176385819
NE,POJ,1.84,386.269654529836
NE,POJ,1.85,381.560541974836
NE,POJ,1.86,376.927178487819
NE,POJ,1.87,372.367948108028
NE,POJ,1.88,367.881277737773
NE,POJ,1.89,363.465635785315
NE,POJ,1.9,359.119530857614
NE,POJ,1.91,354.841510500854
NE,POJ,1.92,350.63015998678
NE,POJ,1.93,346.484101142926
NE,POJ,1.94,342.401991224951
NE,POJ,1.95,338.382521829345
NE,POJ,1.96,334.424417844873
NE,POJ,1.97,330.526436441176
NE,POJ,1.98,326.687366093046
NE,POJ,1.99,322.906025638927
NE,POJ,2,319.181263372293
NE,POJ,2.01,315.511956164588
NE,POJ,2.02,311.89700861848
NE,POJ,2.03,308.335352250251
NE,POJ,2.04,304.825944700163
NE,POJ,2.05,301.367768969721
NE,POJ,2.06,297.959832684802
NE,POJ,2.07,294.601167383631
NE,POJ,2.08,291.290827828664
NE,POJ,2.09,288.027891341468
NE,POJ,2.1,284.81145715971
NE,POJ,2.11,281.640645815433
NE,POJ,2.12,278.514598533816
NE,POJ,2.13,275.432476651633
NE,POJ,2.14,272.393461054705
NE,POJ,2.15,269.396751633613
NE,POJ,2.16,266.441566757019
NE,POJ,2.17,263.527142761927
NE,POJ,2.18,260.652733460282
NE,POJ,2.19,257.817609661303
NE,POJ,2.2,255.021058708972
NE,POJ,2.21,252.26238403415
NE,POJ,2.22,249.540904720777
NE,POJ,2.23,246.855955085661
NE,POJ,2.24,244.206884271367
NE,POJ,2.25,241.593055851745
NE,POJ,2.26,239.013847449649
NE,POJ,2.27,236.468650366417
NE,POJ,2.28,233.956869222706
NE,POJ,2.29,231.477921610275
NE,POJ,2.3,229.031237754345
NE,POJ,2.31,226.616260186175
NE,POJ,2.32,224.232443425485
NE,POJ,2.33,221.879253672408
NE,POJ,2.34,219.556168508631
NE,POJ,2.35,217.262676607424
NE,POJ,2.36,214.998277452252
NE,POJ,2.37,212.762481063673
NE,POJ,2.38,210.55480773426
NE,POJ,2.39,208.374787771269
NE,POJ,2.4,206.221961246789
NE,POJ,2.41,204.095877755146
NE,POJ,2.42,201.996096177301
NE,POJ,2.43,199.922184452022
NE,POJ,2.44,197.873719353612
NE,POJ,2.45,195.850286275968
NE,POJ,2.46,193.85147902278
NE,POJ,2.47,191.876899603654
NE,POJ,2.48,189.926158035987
NE,POJ,2.49,187.998872152392
NE,POJ,2.5,186.094667413517
NE,POJ,2.51,184.213176726058
NE,POJ,2.52,182.354040265828
NE,POJ,2.53,180.516905305709
NE,POJ,2.54,178.701426048333
NE,POJ,2.55,176.907263463354
NE,POJ,2.56,175.134085129152
NE,POJ,2.57,173.381565078848
NE,POJ,2.58,171.649383650483
NE,POJ,2.59,169.937227341243
NE,POJ,2.6,168.244788665595
NE,POJ,2.61,166.57176601723
NE,POJ,2.62,164.917863534678
NE,POJ,2.63,163.282790970498
NE,POJ,2.64,161.666263563927
NE,POJ,2.65,160.068001916892
NE,POJ,2.66,158.487731873272
