leftover,product,storage,t
-50.5942491037,ORA,S73,15.0
-21.8756514572,POJ,S73,15.0
-46.6928149626,ROJ,S73,15.0
15.6829648953,FCOJ,S73,15.0
-28.8534049081,ORA,S59,15.0
-46.1357094643,POJ,S59,15.0
-60.5726731115,ROJ,S59,15.0
-37.8197638782,FCOJ,S59,15.0
-91.6894628952,ORA,S51,15.0
-118.21224247,POJ,S51,15.0
-72.7684904075,ROJ,S51,15.0
-168.449494637,FCOJ,S51,15.0
-41.480839127,ORA,S35,16.0
-35.5477627114,POJ,S35,16.0
-35.7243133062,ROJ,S35,16.0
-76.6694320608,FCOJ,S35,16.0
-45.2679805688,ORA,S73,16.0
-40.1973412596,POJ,S73,16.0
-42.1078524596,ROJ,S73,16.0
7.28151739053,FCOJ,S73,16.0
-31.4695448304,ORA,S59,16.0
-47.0024146311,POJ,S59,16.0
-57.0416430247,ROJ,S59,16.0
-43.2431176119,FCOJ,S59,16.0
-96.7680748122,ORA,S51,16.0
-123.411937533,POJ,S51,16.0
-72.9535913487,ROJ,S51,16.0
-139.540491225,FCOJ,S51,16.0
-28.4103485481,ORA,S35,17.0
-39.8125507016,POJ,S35,17.0
-36.2646588569,ROJ,S35,17.0
-63.4876977797,FCOJ,S35,17.0
-40.761706311,ORA,S73,17.0
-34.4086400655,POJ,S73,17.0
-48.5716219812,ROJ,S73,17.0
0.794063186486,FCOJ,S73,17.0
-32.8970679166,ORA,S59,17.0
-42.6304245889,POJ,S59,17.0
-54.4867539446,ROJ,S59,17.0
-57.0849720648,FCOJ,S59,17.0
-81.1242968801,ORA,S51,17.0
-123.779791459,POJ,S51,17.0
-69.468591031,ROJ,S51,17.0
-209.248093936,FCOJ,S51,17.0
-47.1773029988,ORA,S35,18.0
-43.3096524699,POJ,S35,18.0
-36.8505381752,ROJ,S35,18.0
-70.1859638233,FCOJ,S35,18.0
-48.2377061727,ORA,S73,18.0
-39.8141448407,POJ,S73,18.0
-50.7865349095,ROJ,S73,18.0
-2.46390816995,FCOJ,S73,18.0
-27.4286079117,ORA,S59,18.0
-44.7518033742,POJ,S59,18.0
-56.9192167539,ROJ,S59,18.0
-30.4929515426,FCOJ,S59,18.0
-75.5717704546,ORA,S51,18.0
-120.256617618,POJ,S51,18.0
-69.0754186959,ROJ,S51,18.0
-153.308560885,FCOJ,S51,18.0
-44.4084276585,ORA,S35,19.0
-43.2065243332,POJ,S35,19.0
