R,obj
359,1789364.52598
360,1789161.6547
361,1788953.07127
362,1788738.77998
363,1788518.78502
364,1788293.09044
365,1788061.70015
366,1787824.61795
367,1787581.8475
368,1787333.39236
369,1787079.25593
370,1786819.4415
371,1786553.95224
372,1786282.79119
373,1786005.96127
374,1785723.46527
375,1785435.30587
376,1785141.48561
377,1784842.00692
378,1784536.87211
379,1784226.08336
380,1783909.64273
381,1783587.55217
382,1783259.8135
383,1782926.42842
384,1782587.39852
385,1782242.72526
386,1781892.40999
387,1781536.45393
388,1781174.85819
389,1780807.62377
390,1780434.75153
391,1780056.24223
392,1779672.09652
393,1779282.3149
394,1778886.89779
395,1778485.84548
396,1778079.15813
397,1777666.83581
398,1777248.87846
399,1776825.28589
400,1776396.05782
401,1775961.19384
402,1775520.69343
403,1775074.55596
404,1774622.78066
405,1774165.36669
406,1773702.31305
407,1773233.61866
408,1772759.2823
409,1772279.30264
410,1771793.67826
411,1771302.40759
412,1770805.48897
413,1770302.92063
414,1769794.70066
415,1769280.82707
416,1768761.29772
417,1768236.11038
418,1767705.2627
419,1767168.75221
420,1766626.57635
421,1766078.73242
422,1765525.2176
423,1764966.02899
424,1764401.16355
425,1763830.61813
426,1763254.38947
427,1762672.4742
428,1762084.86881
429,1761491.56972
430,1760892.5732
431,1760287.87542
432,1759677.47243
433,1759061.36017
434,1758439.53445
435,1757811.99099
436,1757178.72539
437,1756539.7331
438,1755895.00951
439,1755244.54985
440,1754588.34926
441,1753926.40274
442,1753258.7052
443,1752585.25142
444,1751906.03606
445,1751221.05367
446,1750530.29868
447,1749833.7654
448,1749131.44803
449,1748423.34066
450,1747709.43722
451,1746989.73158
452,1746264.21746
453,1745532.88844
454,1744795.73803
455,1744052.75958
456,1743303.94635
457,1742549.29145
458,1741788.78789
459,1741022.42855
460,1740250.20619
461,1739472.11346
462,1738688.14287
463,1737898.28681
464,1737102.53757
465,1736300.88729
466,1735493.32799
467,1734679.85158
468,1733860.44983
